Timestamp,Noise_Level,Collision,Waypoint_X,Waypoint_Y,Waypoint_Z,Noisy_Waypoint_X,Noisy_Waypoint_Y,Noisy_Waypoint_Z
2025-03-04 17:07:52,0.8999999999999999,No,108.96920776367188,-32.72903823852539,0.0,109.23529052734375,-33.467247009277344,0.0
2025-03-04 17:07:53,0.8999999999999999,No,107.15261840820312,-38.91106033325195,0.0,107.26887512207031,-39.36843490600586,0.0
2025-03-04 17:07:53,0.8999999999999999,No,104.63813781738281,-44.449886322021484,0.0,104.4669189453125,-45.21761703491211,0.0
2025-03-04 17:07:54,0.8999999999999999,No,101.20337677001953,-49.855316162109375,0.0,100.35662841796875,-49.69225311279297,0.0
2025-03-04 17:07:54,0.8999999999999999,No,97.32923889160156,-54.41016387939453,0.0,97.1697006225586,-54.04249954223633,0.0
2025-03-04 17:07:55,0.8999999999999999,No,93.23974609375,-58.122676849365234,0.0,92.38551330566406,-57.42983627319336,0.0
2025-03-04 17:07:55,0.8999999999999999,No,88.48567199707031,-61.44717788696289,0.0,87.63906860351562,-60.63764572143555,0.0
2025-03-04 17:07:56,0.8999999999999999,No,83.11793518066406,-64.22498321533203,0.0,83.90402221679688,-64.6263198852539,0.0
2025-03-04 17:07:56,0.8999999999999999,No,78.15886688232422,-66.03904724121094,0.0,77.4144058227539,-66.51841735839844,0.0
2025-03-04 17:07:57,0.8999999999999999,No,71.6529541015625,-67.4726333618164,0.0,71.02243041992188,-67.1055679321289,0.0
2025-03-04 17:07:57,0.8999999999999999,No,65.33955383300781,-67.92365264892578,0.0,65.43769073486328,-67.18637084960938,0.0
2025-03-04 17:07:58,0.8999999999999999,No,60.46674728393555,-67.92167663574219,0.0,59.947689056396484,-67.51068115234375,0.0
2025-03-04 17:07:58,0.8999999999999999,No,54.97663879394531,-67.91943359375,0.0,54.517391204833984,-68.55128479003906,0.0
2025-03-04 17:07:59,0.8999999999999999,No,49.55354309082031,-67.9172134399414,0.0,50.030609130859375,-68.45904541015625,0.0
2025-03-04 17:08:00,0.8999999999999999,No,45.05915069580078,-67.9153823852539,0.0,45.65740966796875,-67.1710433959961,0.0
2025-03-04 17:08:00,0.8999999999999999,No,40.680580139160156,-67.91358947753906,0.0,41.1837158203125,-67.24568176269531,0.0
2025-03-04 17:08:01,0.8999999999999999,No,36.209075927734375,-67.9117660522461,0.0,35.77332305908203,-68.0945816040039,0.0
2025-03-04 17:08:01,0.8999999999999999,No,30.798593521118164,-67.90955352783203,0.0,31.53522491455078,-68.128662109375,0.0
2025-03-04 17:08:02,0.8999999999999999,No,26.5624942779541,-67.90782165527344,0.0,26.72806739807129,-68.59008026123047,0.0
2025-03-04 17:08:02,0.8999999999999999,No,21.757532119750977,-67.9058609008789,0.0,20.90736961364746,-68.2256088256836,0.0
2025-03-04 17:08:03,0.8999999999999999,No,15.936362266540527,-67.90348052978516,0.0,15.629826545715332,-68.7166976928711,0.0
2025-03-04 17:08:03,0.8999999999999999,Yes,,,,,,
2025-03-04 17:08:03,0.8999999999999999,Yes,,,,,,
2025-03-04 17:08:03,0.8999999999999999,No,-82.58763885498047,12.954507827758789,0.0,-82.34956359863281,12.27898120880127,0.0
2025-03-04 17:08:04,0.8999999999999999,No,-86.86698913574219,12.942617416381836,0.0,-86.26616668701172,12.982609748840332,0.0
2025-03-04 17:08:04,0.8999999999999999,No,-90.70905303955078,12.915115356445312,0.0,-91.55252075195312,12.875868797302246,0.0
2025-03-04 17:08:05,0.8999999999999999,No,-95.78231811523438,12.711653709411621,0.0,-95.39022827148438,12.380773544311523,0.0
2025-03-04 17:08:05,0.8999999999999999,No,-99.28518676757812,11.736112594604492,0.0,-99.44149017333984,11.630400657653809,0.0
2025-03-04 17:08:06,0.8999999999999999,No,-102.94246673583984,9.691692352294922,0.0,-102.09535217285156,8.958541870117188,0.0
2025-03-04 17:08:06,0.8999999999999999,No,-105.29158782958984,7.13798713684082,0.0,-105.80335235595703,6.256868362426758,0.0
2025-03-04 17:08:07,0.8999999999999999,No,-106.73921203613281,2.714810848236084,0.0,-107.29544067382812,2.3276214599609375,0.0
2025-03-04 17:08:07,0.8999999999999999,No,-106.7154541015625,-2.2888247966766357,0.0,-106.55500793457031,-1.467807412147522,0.0
2025-03-04 17:08:08,0.8999999999999999,No,-106.67261505126953,-6.110951900482178,0.0,-106.00485229492188,-6.151825428009033,0.0
2025-03-04 17:08:08,0.8999999999999999,No,-106.62012481689453,-10.793329238891602,0.0,-106.78075408935547,-10.806201934814453,0.0
2025-03-04 17:08:09,0.8999999999999999,No,-106.56827545166016,-15.418609619140625,0.0,-107.04264068603516,-16.124834060668945,0.0
2025-03-04 17:08:09,0.8999999999999999,No,-106.50869750976562,-20.73344612121582,0.0,-105.78755187988281,-21.628732681274414,0.0
2025-03-04 17:08:10,0.8999999999999999,No,-106.26173400878906,-26.07596778869629,0.0,-106.51049041748047,-26.381074905395508,0.0
2025-03-04 17:08:10,0.8999999999999999,No,-105.54019927978516,-30.66815948486328,0.0,-104.8951644897461,-31.000099182128906,0.0
2025-03-04 17:08:11,0.8999999999999999,No,-104.27635192871094,-35.3551139831543,0.0,-103.38206481933594,-35.46079635620117,0.0
2025-03-04 17:08:11,0.8999999999999999,No,-102.55904388427734,-39.75893783569336,0.0,-102.13839721679688,-40.019813537597656,0.0
2025-03-04 17:08:12,0.8999999999999999,No,-100.33639526367188,-44.03031921386719,0.0,-100.26888275146484,-43.45232391357422,0.0
2025-03-04 17:08:12,0.8999999999999999,No,-98.18450164794922,-47.323387145996094,0.0,-98.30641174316406,-47.04414367675781,0.0
2025-03-04 17:08:13,0.8999999999999999,No,-95.64679718017578,-50.52574920654297,0.0,-95.08126831054688,-49.682289123535156,0.0
